what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1424386333988
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1424386333988
opened,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1424386336738
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1424386337208
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1424386337258
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1424386365973
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1424386365973
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1424386366763
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1424386367573
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424386374503
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424386375973
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1424386380983
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1424386381883
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1424386386773
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424386423193
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424386434173
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424386473253
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424386490733
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424386506483
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424386528003
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1424386539503
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1424386548743
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424386549073
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1424386549123
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1424386549223
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424386565893
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1424386578883
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424386581993
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424386602933
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424386607943
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424386610673
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424386622193
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424386624353
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424386625773
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424386627003
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424386627013
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424386630323
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424386631293
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424386633045
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1424386637115
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1424386640027
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1424386645830
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1424386647250
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424386649340
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424386650620
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1424386664350
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424386665360
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424386666340
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424386666360
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424386668190
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1424386671920
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1424386674962
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1424386680785
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424386714455
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424386934025
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1424386934035
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424386938295
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424386939845
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424386952265
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424386956025
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424386967855
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424386975735
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424386979655
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424386982655
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424386989275
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424387527580
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1424387529800
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424387530860
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424387544370
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1424387544380
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424387546710
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424387548220
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424387548240
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424387549940
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424387551090
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1424387554990
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424387557002
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1424387557002
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1424387562965
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1424387605525
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1424387711885
executed,command,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.edit.opendecl",1424387716315
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1424387716395
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1424387716425
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1424387759035
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1424387764855
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1424387766345
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1424387766835
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildProject",1424387771715
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424387772075
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424387774955
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424387777045
