what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1424999195107
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1424999199637
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424999217517
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424999218847
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1424999223327
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1424999226429
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1424999232422
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1424999262382
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1424999264292
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424999268812
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424999302904
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1424999306244
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1424999307194
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1424999369354
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1424999377114
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1424999380404
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1424999382214
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424999391824
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424999392864
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1424999397334
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1424999400397
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1424999405128
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1424999449650
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1424999508830
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1424999509550
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1424999511650
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1424999513370
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1424999516750
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424999521970
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424999523160
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424999523840
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424999526060
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424999527450
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1424999527550
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424999530681
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1424999530692
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1424999532662
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424999626895
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424999628175
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424999633085
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424999715995
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1424999721515
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424999730615
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424999767825
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1424999782795
error,log,,,"An internal error occurred during: ""Compute launch button tooltip"".",1424999842145
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424999842175
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424999843485
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424999850485
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425000109345
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425000111805
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425000118435
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1425000119835
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425000145646
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425000232188
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1425000232218
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1425000234068
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1425000235088
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1425000237248
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1425000247198
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425000302358
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425000388248
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425000390398
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425000581948
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1425000599218
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1425000602438
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1425000604298
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1425000608908
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1425000610378
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1425000611738
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1425000612748
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1425000613548
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1425000614418
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1425000616258
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1425000617048
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1425000618438
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1425000620228
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1425000621028
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425000626788
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425000628048
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1425000632798
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1425000672408
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1425000684728
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1425000735368
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1425000738778
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1425000801418
closed,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1425000801428
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425000803348
error,log,,,"An internal error occurred during: ""Compute launch button tooltip"".",1425000803378
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425000805498
