what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1426022443498
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1426022443498
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1426022443498
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1426022443498
started,bundle,com.altera.sbtgui.core,11.0.0.157,"com.altera.sbtgui.core",1426022443498
started,bundle,com.altera.sbtgui.project,11.0.0.157,"com.altera.sbtgui.project",1426022443498
os,sysinfo,,,"win32",1426022443498
arch,sysinfo,,,"x86",1426022443498
ws,sysinfo,,,"win32",1426022443498
locale,sysinfo,,,"en_US",1426022443498
processors,sysinfo,,,"4",1426022443498
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1426022443498
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1426022443498
java.specification.name,sysinfo,,,"Java Platform API Specification",1426022443498
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1426022443498
java.specification.version,sysinfo,,,"1.6",1426022443498
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1426022443498
java.version,sysinfo,,,"1.6.0_23",1426022443498
java.vm.info,sysinfo,,,"mixed mode",1426022443498
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1426022443498
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1426022443498
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1426022443498
java.vm.specification.version,sysinfo,,,"1.0",1426022443498
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1426022443498
java.vm.version,sysinfo,,,"19.0-b09",1426022443498
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1426022443658
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1426022443698
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1426022443758
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1426022443798
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1426022443818
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1426022443858
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1426022443988
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1426022443998
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1426022443998
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1426022444078
started,bundle,com.altera.sbtgui.integration,11.0.0.157,"com.altera.sbtgui.integration",1426022444128
started,bundle,com.altera.systemconsole,11.0.0.157,"com.altera.systemconsole",1426022444128
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1426022444578
started,bundle,com.altera.utilities,11.0.0.157,"com.altera.utilities",1426022444608
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1426022445158
started,bundle,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch",1426022445288
